Fecha,Peso(g),aw (LiCl),Peso(g).1,aw (Na2SO4),Peso(g).2,aw (CH3COOK),Peso(g).3,aw (Mg(NO3)2),Peso(g).4,aw (CuCl),Peso(g).5,aw (K2CO3),Peso(g).6,aw (NaCl),Peso(g).7,aw (KCl)
2024-09-29,3.7,0.10,3.3,0.243,3.53,0.423,3.0,0.479,3.11,0.652,3.53,0.658,3.29,0.689,3.97,0.731
2024-09-30,3.71,0.124,3.31,0.241,3.53,0.416,3.04,0.475,3.18,0.651,3.62,0.656,3.34,0.683,4.01,0.717
2024-10-01,3.71,0.124,3.31,0.241,3.55,0.416,3.07,0.472,3.2,0.65,3.62,0.656,3.35,0.68,4.01,0.717
2024-10-02,3.72,0.12,3.32,0.24,3.56,0.417,3.06,0.475,3.23,0.65,3.65,0.654,3.35,0.68,4.03,0.715
2024-10-03,3.71,0.12,3.32,0.24,3.57,0.417,3.07,0.47,3.23,0.649,3.65,0.655,3.36,0.679,4.03,0.715
2024-10-04,3.72,0.11,3.32,0.242,3.57,0.416,3.07,0.47,3.25,0.647,3.68,0.653,3.4,0.77,4.03,0.716
2024-10-05,3.72,0.12,3.31,0.245,3.56,0.415,3.06,0.475,3.26,0.647,3.68,0.653,3.42,0.76,4.05,0.714
2024-10-06,3.72,0.12,3.32,0.24,3.57,0.417,3.07,0.472,3.26,0.649,3.7,0.65,3.41,0.77,4.08,0.713
2024-10-07,3.73,0.125,3.33,0.235,3.59,0.418,3.08,0.46,3.28,0.645,3.75,0.647,3.44,0.75,4.09,0.713
2024-10-08,3.73,0.125,3.33,0.235,3.59,0.418,3.08,0.46,3.28,0.645,3.75,0.647,3.45,0.74,4.1,0.712
2024-10-09,3.73,0.12,3.33,0.24,3.58,0.417,3.09,0.455,3.3,0.644,3.75,0.646,3.45,0.75,4.1,0.712
2024-10-10,3.74,0.11,3.32,0.241,3.59,0.415,3.08,0.465,3.3,0.644,3.76,0.646,3.49,0.735,4.1,0.713
2024-10-11,3.73,0.11,3.34,0.23,3.6,0.413,3.1,0.451,3.3,0.645,3.79,0.645,3.49,0.735,4.14,0.711
2024-10-12,3.73,0.115,3.34,0.23,3.6,0.415,3.1,0.451,3.32,0.645,3.79,0.645,3.5,0.73,4.15,0.711
2024-10-13,3.74,0.114,3.33,0.231,3.6,0.413,3.1,0.449,3.35,0.643,3.8,0.64,3.5,0.73,4.15,0.712
2024-10-14,3.74,0.114,3.33,0.231,3.61,0.413,3.14,0.449,3.35,0.643,3.8,0.64,3.54,0.68,4.17,0.711
2024-10-15,3.74,0.115,3.34,0.235,3.61,0.412,3.14,0.449,3.35,0.644,3.82,0.643,3.53,0.72,4.17,0.711
2024-10-16,3.73,0.125,3.34,0.235,3.62,0.41,3.14,0.445,3.35,0.643,3.84,0.642,3.54,0.68,4.19,0.71
2024-10-17,3.74,0.112,3.34,0.23,3.63,0.41,3.14,0.449,3.37,0.64,3.83,0.643,3.55,0.68,4.19,0.71
2024-10-18,3.75,0.12,3.35,0.231,3.65,0.415,3.14,0.445,3.38,0.645,3.84,0.642,3.56,0.677,4.23,0.708
2024-10-19,3.74,0.115,3.35,0.231,3.65,0.41,3.15,0.444,3.37,0.64,3.85,0.642,3.55,0.68,4.23,0.708
2024-10-20,3.76,0.11,3.36,0.235,3.65,0.41,3.15,0.442,3.38,0.648,3.86,0.64,3.6,0.67,4.28,0.707
2024-10-21,3.75,0.12,3.36,0.23,3.66,0.408,3.16,0.44,3.4,0.642,3.86,0.64,3.6,0.67,4.3,0.707
2024-10-22,3.75,0.12,3.36,0.23,3.67,0.408,3.17,0.435,3.39,0.635,3.87,0.638,3.61,0.675,4.36,0.708
2024-10-23,3.76,0.12,3.37,0.225,3.66,0.406,3.16,0.44,3.4,0.64,3.89,0.635,3.65,0.66,4.37,0.703
2024-10-24,3.75,0.12,3.37,0.225,3.67,0.405,3.17,0.437,3.4,0.64,3.89,0.635,3.65,0.66,4.4,0.703
2024-10-25,3.76,0.111,3.38,0.224,3.68,0.404,3.18,0.436,3.41,0.639,3.9,0.633,3.67,0.659,4.48,0.7
2024-10-26,3.76,0.111,3.38,0.224,3.68,0.404,3.18,0.436,3.41,0.639,3.9,0.633,3.67,0.659,4.48,0.7
2024-10-27,3.76,0.111,3.38,0.224,3.68,0.404,3.18,0.436,3.41,0.639,3.9,0.633,3.67,0.659,4.48,0.7
2024-10-28,3.76,0.111,3.38,0.224,3.68,0.404,3.18,0.436,3.41,0.639,3.9,0.633,3.67,0.659,4.48,0.7
2024-10-29,3.76,0.111,3.38,0.224,3.68,0.404,3.18,0.436,3.41,0.639,3.9,0.633,3.67,0.659,4.48,0.7
